Product Id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product MID Code;Product Material;Product Collection Title;Product Collection Handle;Product Type;Product Tags;Product Discountable;Product External Id;Product Profile Name;Product Profile Type;Variant Id;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Allow Backorder;Variant Manage Inventory;Variant Weight;Variant Length;Variant Width;Variant Height;Variant HS Code;Variant Origin Country;Variant MID Code;Variant Material;Price EUR;Price USD;Price INR;Option 1 Name;Option 1 Value;Image 1 Url;Image 2 Url
;kantha-stitch-saree;Kantha Stitch Saree;;A hand-stitched Kantha saree.;published;http://localhost:9000/uploads/1720528796671-c332e8fa-4a7a-4f05-b11d-c25b695d53e3.jpg;380;;;;;;;;;;Saree;;true;;;;;One Size;;;55;false;true;;;;;;;;;2700;2200;2600;Size;Standard;http://localhost:9000/uploads/1720528805697-c332e8fa-4a7a-4f05-b11d-c25b695d53e3.jpg;
;banjara-saree;Banjara Saree;;A colorful Banjara saree.;published;http://localhost:9000/uploads/1720528695872-6a852170-3096-4d34-bebd-a05a301de68f.jpg;460;;;;;;;;;;Saree;;true;;;;;One Size;;;35;false;true;;;;;;;;;3800;3000;3600;Size;Standard;http://localhost:9000/uploads/1720528705222-6a852170-3096-4d34-bebd-a05a301de68f.jpg;
;dabu-print-saree;Dabu Print Saree;;A hand-block printed Dabu saree.;published;http://localhost:9000/uploads/1720528740844-75db0062-864a-4c31-bed4-10dae220a900.jpg;340;;;;;;;;;;Saree;;true;;;;;One Size;;;65;false;true;;;;;;;;;1900;1500;1800;Size;Standard;http://localhost:9000/uploads/1720528750298-75db0062-864a-4c31-bed4-10dae220a900.jpg;
;tant-bengal-saree;Tant Bengal Saree;;A traditional Bengal Tant saree.;published;http://localhost:9000/uploads/1720528847802-6b1f61c3-3910-4d2a-9594-e58fbcfe4974.jpg;300;;;;;;;;;;Saree;;true;;;;;One Size;;;75;false;true;;;;;;;;;1600;1200;1500;Size;Standard;http://localhost:9000/uploads/1720528839566-6b1f61c3-3910-4d2a-9594-e58fbcfe4974.jpg;
;ajrak-saree;Ajrak Saree;;A traditional Ajrak printed saree.;published;http://localhost:9000/uploads/1720528880567-c3627a69-46c5-4c64-aa14-f15744cdd35a.jpg;460;;;;;;;;;;Saree;;true;;;;;One Size;;;35;false;true;;;;;;;;;3200;2500;3000;Size;Standard;http://localhost:9000/uploads/1720528875422-c3627a69-46c5-4c64-aa14-f15744cdd35a.jpg;
;kosa-silk-saree;Kosa Silk Saree;;A rich Kosa Silk saree.;published;http://localhost:9000/uploads/1720528377157-bb49341c-176b-4001-9d63-081290583085.jpg;340;;;;;;;;;;Saree;;true;;;;;One Size;;;65;false;true;;;;;;;;;3500;2800;3300;Size;Standard;http://localhost:9000/uploads/1720528385781-bb49341c-176b-4001-9d63-081290583085.jpg;
;patola-saree;Patola Saree;;A vibrant Patola saree from Gujarat.;published;http://localhost:9000/uploads/1720528909597-db83fda9-591f-4a0b-b534-cec33b6af75d.jpg;420;;;;;;;;;;Saree;;true;;;;;One Size;;;45;false;true;;;;;;;;;5000;3000;3600;Size;Standard;http://localhost:9000/uploads/1720528903271-db83fda9-591f-4a0b-b534-cec33b6af75d.jpg;
;chanderi-saree;Chanderi Saree;;A delicate Chanderi saree from Madhya Pradesh.;published;http://localhost:9000/uploads/1720528942147-bdc1610c-247a-40e8-b643-7f0b9092b9d8.jpg;380;;;;;;;;;;Saree;;true;;;;;One Size;;;55;false;true;;;;;;;;;2000;1800;2100;Size;Standard;http://localhost:9000/uploads/1720528935722-bdc1610c-247a-40e8-b643-7f0b9092b9d8.jpg;
;baluchari-saree;Baluchari Saree;;An intricate Baluchari saree from West Bengal.;published;http://localhost:9000/uploads/1720528985087-a7400f0d-a840-45a5-8d6b-4298c7855e25.jpg;460;;;;;;;;;;Saree;;true;;;;;One Size;;;35;false;true;;;;;;;;;4500;3200;3800;Size;Standard;http://localhost:9000/uploads/1720528978078-a7400f0d-a840-45a5-8d6b-4298c7855e25.jpg;
;kasavu-saree;Kasavu Saree;;A traditional Kasavu saree from Kerala.;published;http://localhost:9000/uploads/1720529043402-ef6b105e-1cac-422b-9f98-312b5ae269cd.jpg;300;;;;;;;;;;Saree;;true;;;;;One Size;;;75;false;true;;;;;;;;;1200;1000;1200;Size;Standard;http://localhost:9000/uploads/1720529037998-ef6b105e-1cac-422b-9f98-312b5ae269cd.jpg;
;paithani-saree;Paithani Saree;;A regal Paithani saree from Maharashtra.;published;http://localhost:9000/uploads/1720529087951-4f808d54-4f9c-468a-9cea-e4a53bf7f41e.jpg;500;;;;;;;;;;Saree;;true;;;;;One Size;;;25;false;true;;;;;;;;;5000;4000;4800;Size;Standard;http://localhost:9000/uploads/1720529082395-4f808d54-4f9c-468a-9cea-e4a53bf7f41e.jpg;
;kota-doria-saree;Kota Doria Saree;;A light and airy Kota Doria saree from Rajasthan.;published;http://localhost:9000/uploads/1720529215584-cc503835-ac30-415f-bd12-645dc74f3f0a.jpg;340;;;;;;;;;;Saree;;true;;;;;One Size;;;65;false;true;;;;;;;;;1900;1500;1800;Size;Standard;http://localhost:9000/uploads/1720529208817-cc503835-ac30-415f-bd12-645dc74f3f0a.jpg;
;uppada-saree;Uppada Saree;;A rich Uppada saree from Andhra Pradesh.;published;http://localhost:9000/uploads/1720529233099-da78dfb8-3e47-4031-a0c4-8be7a6b43246.jpg;460;;;;;;;;;;Saree;;true;;;;;One Size;;;55;false;true;;;;;;;;;3500;2800;3300;Size;Standard;http://localhost:9000/uploads/1720529228312-da78dfb8-3e47-4031-a0c4-8be7a6b43246.jpg;
